generation,N_shifts,logPrior,logLik,eventRate,acceptRate
2767500,5,-668.305,-135.282,2.72964,0.568
2768000,4,-668.324,-135.18,4.65971,0.562
2768500,7,-660.007,-142.127,4.49712,0.546
2769000,7,-671.182,-127.628,7.4191,0.59
2769500,7,-657.409,-139.414,2.11723,0.576
2770000,3,-684.675,-111.817,1.79858,0.561
2770500,3,-682.303,-115.353,1.92424,0.56
2771000,7,-677.865,-112.598,3.01035,0.591308
2771500,5,-697.795,-94.6427,1.77872,0.572
2772000,5,-679.124,-113.985,3.01319,0.577
2772500,5,-680.114,-112.238,3.0166,0.562
2773000,4,-720.198,-86.3433,4.46293,0.584
2773500,7,-673.84,-120.397,4.49042,0.604
2774000,6,-689.289,-110.827,2.95538,0.52925
2774500,8,-707.477,-101.841,3.1085,0.57
2775000,9,-708.027,-108.722,4.42899,0.572818
2775500,6,-675.998,-125.892,1.29681,0.612
2776000,3,-668.952,-134.348,1.68674,0.586
2776500,5,-689.848,-112.789,0.661719,0.568
2777000,2,-651.9,-152.864,1.93971,0.564
2777500,2,-635.921,-165.527,1.74855,0.49
2778000,8,-707.872,-93.6755,4.5882,0.5892
2778500,8,-702.714,-95.8703,3.43484,0.602
2779000,8,-706.732,-96.7779,1.67721,0.5934
2779500,8,-706.288,-89.1034,3.8665,0.592
2780000,9,-727.185,-79.418,5.90909,0.594
2780500,8,-740.631,-67.333,7.71119,0.556
2781000,9,-745.482,-67.1888,5.82739,0.568
2781500,6,-750.117,-50.9499,3.79564,0.572
2782000,4,-643.832,-162.362,0.593916,0.5618
2782500,6,-668.061,-137.433,7.05014,0.57
2783000,6,-661.316,-146.456,3.08241,0.584889
2783500,5,-653.036,-149.433,1.14909,0.574
2784000,5,-660.624,-144.419,3.55606,0.564
2784500,5,-625.206,-170.321,2.48033,0.57
2785000,7,-716.392,-88.2911,5.97094,0.59675
2785500,4,-713.618,-81.7259,3.40948,0.574
2786000,3,-698.566,-91.6308,1.10276,0.563
2786500,5,-695.944,-94.8937,2.37051,0.602
2787000,3,-635.744,-154.827,1.01133,0.586444
2787500,5,-631.654,-160.378,3.14544,0.544
2788000,5,-687.537,-107.155,5.62188,0.5935
2788500,6,-685.006,-112.974,4.82044,0.614
2789000,8,-689.009,-110.59,5.21332,0.615
2789500,6,-692.377,-104.815,2.74789,0.628
2790000,8,-661.175,-143.621,6.10641,0.592
2790500,5,-643.155,-152.537,2.96462,0.576
2791000,5,-633.444,-167.447,3.76287,0.551
2791500,4,-670.264,-134.448,2.0017,0.556
2792000,6,-593.246,-214.573,5.83783,0.542889
2792500,8,-608.767,-196.743,2.75077,0.604
2793000,7,-602.858,-201.629,3.49777,0.573
2793500,5,-620.624,-181.305,3.16722,0.568
2794000,3,-655.766,-144.172,1.02081,0.5501
2794500,3,-623.377,-176.753,2.35836,0.532
2795000,4,-632.988,-165.052,2.49996,0.537
2795500,2,-618.222,-179.182,0.346404,0.53
2796000,5,-648.443,-145.885,2.03013,0.573143
2796500,7,-664.507,-124.147,4.12914,0.562
2797000,6,-614.952,-191.986,4.44067,0.56
2797500,4,-621.43,-180.885,3.47286,0.538
2798000,2,-595.223,-206.05,1.56246,0.543
2798500,3,-591.716,-205.699,1.60852,0.48
2799000,3,-638.64,-165.31,1.55708,0.547833
2799500,4,-623.385,-175.442,3.08432,0.536
2800000,3,-652.456,-146.116,0.444438,0.53125
2800500,4,-645.307,-162.053,2.70491,0.582
2801000,3,-654.188,-146.47,1.31456,0.561
2801500,3,-647.531,-150.92,2.23803,0.524
2802000,2,-656.069,-143.637,2.91008,0.541909
2802500,6,-647.201,-157.189,2.57174,0.586
2803000,5,-630.745,-171.364,3.25581,0.544
2803500,6,-666.144,-131.754,2.79593,0.558
2804000,10,-671.846,-128.272,5.04357,0.574
2804500,6,-633.397,-168.218,4.44964,0.606
2805000,7,-672.853,-122.875,2.84031,0.586
2805500,4,-656.621,-143.354,4.54407,0.538
2806000,8,-693.448,-116.15,4.76281,0.5782
2806500,14,-659.949,-158.065,11.3548,0.624
2807000,14,-685.801,-127.481,5.09994,0.566375
2807500,14,-679.465,-127.248,6.54187,0.6
2808000,10,-714.656,-102.357,7.56509,0.561667
2808500,10,-674.768,-125.631,4.82968,0.624
2809000,15,-642.963,-170.462,7.90592,0.557636
2809500,11,-630.909,-175.199,3.0038,0.632
2810000,4,-653.047,-141.591,1.65917,0.604
2810500,6,-633.55,-159.535,3.28408,0.536
2811000,7,-696.312,-107.718,5.54019,0.56
2811500,5,-682.577,-114.896,4.88405,0.586
2812000,8,-664.733,-140.902,4.40553,0.594
2812500,9,-671.768,-131.029,4.33469,0.572
2813000,6,-656.809,-140.703,2.67866,0.576
2813500,5,-676.775,-122.917,3.17095,0.55
2814000,6,-650.075,-149.669,2.74682,0.5945
2814500,5,-650.579,-145.04,2.19209,0.588
2815000,11,-671.24,-132.861,3.24094,0.599
2815500,6,-668.334,-129.374,2.79473,0.6
2816000,5,-634.565,-159.193,2.07423,0.589667
2816500,4,-642.437,-150.878,0.732341,0.604
2817000,7,-675.538,-122.86,3.43356,0.613
2817500,5,-662.099,-131.217,1.40907,0.588
2818000,3,-656.817,-135.737,0.940372,0.555
2818500,3,-655.799,-141.588,2.67944,0.588
2819000,7,-722.106,-83.6181,4.50001,0.579
2819500,8,-696.936,-97.1078,4.35083,0.6
2820000,7,-693.895,-101.14,3.62474,0.597
2820500,7,-684.153,-106.559,3.57145,0.602
2821000,10,-701.088,-99.6882,5.16327,0.6
2821500,7,-691.135,-108.842,1.93408,0.616
2822000,7,-647.109,-157.91,5.52518,0.5885
2822500,7,-639.559,-162.495,2.18456,0.59
2823000,7,-660.104,-133.161,2.94059,0.5878
2823500,6,-656.101,-139.21,3.31928,0.6
2824000,7,-647.775,-150.24,3.62536,0.6045
2824500,6,-647.972,-149.655,6.20547,0.564
2825000,7,-636.013,-156.483,3.30499,0.564
2825500,7,-621.939,-177.705,3.35362,0.636
2826000,9,-639.027,-163.664,4.25043,0.607
2826500,6,-623.103,-176.878,2.64848,0.572
2827000,5,-622.765,-171.915,3.39118,0.558
2827500,7,-640.468,-155.425,3.3722,0.558
2828000,7,-639.725,-166.462,6.43011,0.575474
2828500,5,-637.487,-161.144,3.89154,0.576
2829000,7,-669.21,-137.621,2.80474,0.584
2829500,8,-644.92,-157.609,4.1687,0.616
2830000,9,-661.078,-135.035,4.71701,0.598111
2830500,11,-683.789,-127.248,9.20199,0.566
2831000,8,-708.262,-91.3938,3.78048,0.60075
2831500,8,-679.712,-120.347,3.59865,0.61
2832000,10,-694.495,-104.294,4.8821,0.588
2832500,8,-683.157,-116.192,4.76585,0.59
2833000,8,-685.726,-121.404,3.89297,0.572
2833500,7,-671.801,-121.823,4.97008,0.618
2834000,6,-633.183,-164,2.93694,0.594
2834500,7,-610.085,-186.024,2.04367,0.6
2835000,8,-619.388,-177.682,6.76339,0.591
2835500,6,-600.264,-201.68,4.73982,0.6
2836000,4,-616.393,-185.722,4.15399,0.578
2836500,7,-609.844,-194.259,2.88571,0.594
2837000,4,-581.983,-210.446,2.91111,0.558
2837500,6,-588.633,-209.134,3.10807,0.546
2838000,11,-687.883,-120.425,3.99501,0.5814
2838500,11,-679.765,-123.222,7.52936,0.612
2839000,10,-687.526,-116.205,7.55891,0.59
2839500,10,-681.707,-124.142,5.33285,0.616
2840000,10,-658.371,-155.5,8.95396,0.5694
2840500,12,-656.282,-154.03,6.35711,0.648
2841000,8,-637.387,-164.594,3.37994,0.633
2841500,4,-657.6,-140.932,1.56586,0.538
2842000,3,-645.774,-144.927,1.25918,0.518
2842500,6,-661.115,-145.393,7.30012,0.54
2843000,6,-636.823,-165.188,3.26276,0.535
2843500,5,-646.975,-152.857,1.92453,0.556
2844000,5,-667.801,-130.138,2.03762,0.584429
2844500,7,-639.009,-159.641,5.14784,0.54
2845000,8,-629.752,-174.28,7.26353,0.561
2845500,10,-655.759,-139.523,3.91108,0.606
2846000,3,-639.654,-150.861,0.572361,0.562667
2846500,7,-634.451,-166.574,2.42525,0.588
2847000,6,-647.246,-150.52,5.74735,0.582125
2847500,9,-668.096,-133.778,4.33478,0.588
2848000,5,-633.182,-159.907,2.91961,0.584
2848500,4,-633.507,-160.7,0.90337,0.556
2849000,4,-628.52,-168.337,2.11876,0.527
2849500,3,-627.849,-165.737,1.20493,0.482
2850000,3,-645.424,-146.701,2.71365,0.577333
2850500,4,-640.122,-154.297,5.23975,0.57
2851000,7,-695.89,-109.179,4.26267,0.592583
2851500,8,-696.052,-114.072,3.47773,0.628
2852000,6,-669.752,-129.227,2.82583,0.569
2852500,9,-671.522,-124.77,3.89786,0.566
2853000,9,-690.04,-110.336,2.81679,0.579
2853500,6,-686.337,-113.309,4.35786,0.588
2854000,6,-688.081,-115.332,6.54499,0.56325
