
code	|	name	|	preferred name	|	taxid
1	|	Acanthophis praelongus	|	 	|	239746
1	|	Acanthophis pyrrhus	|	 	|	239752
1	|	Acanthophis rugosus	|	 	|	239748
1	|	Acanthophis wellsi	|	 	|	239747
1	|	Acanthosaura armata	|	 	|	285987
3	|	Acanthosaura aurantiacrista	|	 	|	 
3	|	Acanthosaura bintangensis	|	 	|	 
1	|	Acanthosaura brachypoda	|	 	|	2589072
1	|	Acanthosaura capra	|	 	|	52216
1	|	Acanthosaura cardamomensis	|	 	|	753574
1	|	Acanthosaura coronata	|	 	|	2202102
1	|	Acanthosaura crucigera	|	 	|	103692
1	|	Acanthosaura lepidogaster	|	 	|	118088
1	|	Acanthosaura liui	|	 	|	2754728
1	|	Acanthosaura longicaudata	|	 	|	2933962
3	|	Acanthosaura meridiona	|	 	|	 
3	|	Acanthosaura murphyi	|	 	|	 
1	|	Acanthosaura nataliae	|	 	|	2202103
1	|	Acanthosaura phongdienensis	|	 	|	2589073
3	|	Acanthosaura phuketensis	|	 	|	 
1	|	Acanthosaura prasina	|	 	|	2762847
1	|	Acanthosaura rubrilabris	|	 	|	2933963
3	|	Acanthosaura titiwangsaensis	|	 	|	 
1	|	Acanthosaura tongbiguanensis	|	 	|	2683621
1	|	Achalinus ater	|	 	|	2483452
1	|	Achalinus dabieshanensis	|	 	|	2793653
3	|	Achalinus dehuaensis	|	 	|	 
1	|	Achalinus emilyae	|	 	|	2545922
1	|	Achalinus formosanus	|	 	|	1938386
3	|	Achalinus hainanus	|	 	|	 
1	|	Achalinus huangjietangi	|	 	|	2730611
3	|	Achalinus jinggangensis	|	 	|	 
1	|	Achalinus juliani	|	 	|	2545920
1	|	Achalinus meiguensis	|	 	|	572522
1	|	Achalinus niger	|	 	|	1938382
1	|	Achalinus ningshanensis	|	 	|	2944936
1	|	Achalinus panzhihuaensis	|	 	|	2814870
3	|	Achalinus pingbianensis	|	 	|	 
1	|	Achalinus rufescens	|	 	|	46276
1	|	Achalinus spinalis	|	 	|	1748395
1	|	Achalinus timi	|	 	|	2545921
1	|	Achalinus tranganensis	|	 	|	2773692
1	|	Achalinus vanhoensis	|	 	|	2950339
3	|	Achalinus werneri	|	 	|	 
1	|	Achalinus yangdatongi	|	 	|	2814871
1	|	Achalinus yunkaiensis	|	 	|	2676780
1	|	Achalinus zugorum	|	 	|	2738457
1	|	Acontias albigularis	|	 	|	2766973
1	|	Acontias aurantiacus	|	 	|	980949
1	|	Acontias bicolor	|	 	|	980950
1	|	Acontias breviceps	|	 	|	357132
1	|	Acontias cregoi	|	 	|	980951
1	|	Acontias fitzsimonsi	|	 	|	1225890
1	|	Acontias gariepensis	|	 	|	980952
1	|	Acontias gracilicauda	|	 	|	156901
1	|	Acontias jappi	|	 	|	980953
1	|	Acontias kgalagadi	|	 	|	980954
1	|	Acontias lineatus	|	 	|	764543
1	|	Acontias meleagris	|	 	|	156899
1	|	Acontias namaquensis	|	 	|	980955
1	|	Acontias occidentalis	|	 	|	357159
1	|	Acontias orientalis	|	 	|	156900
1	|	Acontias parietalis	|	 	|	1225891
1	|	Acontias percivali	|	 	|	156902
1	|	Acontias plumbeus	|	 	|	357122
1	|	Acontias richardi	|	 	|	980957
1	|	Acontias rieppeli	|	 	|	980958
1	|	Acontias schmitzi	|	 	|	2912980
1	|	Acontias subtaeniatus	|	 	|	2912981
1	|	Acontias wakkerstroomensis	|	 	|	2912982
1	|	Acrantophis dumerili	|	 	|	51850
1	|	Acrantophis madagascariensis	|	 	|	51851
1	|	Acratosaura mentalis	|	 	|	1235866
1	|	Acratosaura spinosa	|	 	|	1689659
1	|	Acritoscincus duperreyi	|	Bassiana duperreyi	|	316450
1	|	Acritoscincus platynotus	|	 	|	2593634
1	|	Acritoscincus trilineatus	|	 	|	2593635
1	|	Acrochordus arafurae	|	 	|	803241
1	|	Acrochordus granulatus	|	 	|	46287
1	|	Acrochordus javanicus	|	 	|	39267
1	|	Actinemys marmorata	|	 	|	335395
1	|	Actinemys pallida	|	 	|	1485138
3	|	Acutotyphlops banaorum	|	 	|	 
3	|	Acutotyphlops infralabialis	|	 	|	 
1	|	Acutotyphlops kunuaensis	|	 	|	759945
3	|	Acutotyphlops solomonis	|	 	|	 
1	|	Acutotyphlops subocularis	|	 	|	759946
3	|	Adelphicos daryi	|	 	|	 
3	|	Adelphicos ibarrorum	|	 	|	 
3	|	Adelphicos latifasciatum	|	 	|	 
3	|	Adelphicos newmanorum	|	 	|	 
3	|	Adelphicos nigrilatum	|	 	|	 
1	|	Adelphicos quadrivirgatum	|	 	|	699567
3	|	Adelphicos sargii	|	 	|	 
1	|	Adelphicos veraepacis	|	 	|	2202104
3	|	Adelphicos visoninum	|	 	|	 
3	|	Adelphostigma occipitalis	|	 	|	 
3	|	Adelphostigma quadriocellata	|	 	|	 
3	|	Adercosaurus vixadnexus	|	 	|	 
1	|	Adolfus africanus	|	 	|	80446
1	|	Adolfus alleni	|	 	|	1075112
1	|	Adolfus jacksoni	|	 	|	80465
1	|	Adolfus kibonotensis	|	 	|	2559894
1	|	Adolfus masavaensis	|	 	|	1427685
1	|	Adolfus mathewsensis	|	 	|	2559893
3	|	Advenus montisilvestris	|	 	|	 
3	|	Aeluroglena cucullata	|	 	|	 
1	|	Aeluroscalabotes felinus	|	 	|	96749
1	|	Afroedura africana	|	 	|	1537727
1	|	Afroedura amatolica	|	 	|	221548
1	|	Afroedura bogerti	|	 	|	1529672
1	|	Afroedura broadleyi	|	 	|	1537746
1	|	Afroedura donveae	|	 	|	2795422
1	|	Afroedura gorongosa	|	 	|	2211156
1	|	Afroedura granitica	|	 	|	1537745
1	|	Afroedura haackei	|	 	|	1529676
1	|	Afroedura halli	|	 	|	1529613
1	|	Afroedura hawequensis	|	 	|	1529673
1	|	Afroedura karroica	|	 	|	1207996
1	|	Afroedura langi	|	 	|	476462
3	|	Afroedura leoloensis	|	 	|	 
1	|	Afroedura loveridgei	|	 	|	221547
1	|	Afroedura major	|	 	|	1537747
1	|	Afroedura maripi	|	 	|	1537740
1	|	Afroedura marleyi	|	 	|	1529674
1	|	Afroedura multiporis	|	 	|	1529675
3	|	Afroedura namaquensis	|	 	|	 
1	|	Afroedura nivaria	|	 	|	221549
1	|	Afroedura otjihipa	|	 	|	2986616
1	|	Afroedura pienaari	|	 	|	1537738
1	|	Afroedura pondolia	|	 	|	476463
1	|	Afroedura pongola	|	 	|	1537743
1	|	Afroedura praedicta	|	 	|	2795423
1	|	Afroedura pundomontana	|	 	|	2986617
3	|	Afroedura rondavelica	|	 	|	 
3	|	Afroedura rupestris	|	 	|	 
1	|	Afroedura tembulica	|	 	|	1529671
3	|	Afroedura tirasensis	|	 	|	 
1	|	Afroedura transvaalica	|	 	|	1529678
1	|	Afroedura vazpintorum	|	 	|	2795424
1	|	Afroedura waterbergensis	|	 	|	1537739
1	|	Afroedura wulfhaackei	|	 	|	2795425
1	|	Afrogecko porphyreus	|	 	|	221551
1	|	Afronatrix anoscopus	|	 	|	173359
1	|	Afrotyphlops angolensis	|	 	|	760006
3	|	Afrotyphlops anomalus	|	 	|	 
1	|	Afrotyphlops bibronii	|	 	|	760001
1	|	Afrotyphlops blanfordii	|	 	|	2698837
3	|	Afrotyphlops brevis	|	 	|	 
3	|	Afrotyphlops calabresii	|	 	|	 
3	|	Afrotyphlops chirioi	|	 	|	 
1	|	Afrotyphlops congestus	|	 	|	760002
3	|	Afrotyphlops cuneirostris	|	 	|	 
1	|	Afrotyphlops elegans	|	 	|	648797
1	|	Afrotyphlops fornasinii	|	 	|	760003
3	|	Afrotyphlops gierrai	|	 	|	 
3	|	Afrotyphlops kaimosae	|	 	|	 
3	|	Afrotyphlops liberiensis	|	 	|	 
1	|	Afrotyphlops lineolatus	|	 	|	760004
1	|	Afrotyphlops mucruso	|	 	|	759995
3	|	Afrotyphlops nanus	|	 	|	 
3	|	Afrotyphlops nigrocandidus	|	 	|	 
1	|	Afrotyphlops obtusus	|	 	|	760095
3	|	Afrotyphlops platyrhynchus	|	 	|	 
1	|	Afrotyphlops punctatus	|	 	|	760005
3	|	Afrotyphlops rondoensis	|	 	|	 
3	|	Afrotyphlops rouxestevae	|	 	|	 
