generation,N_shifts,logPrior,logLik,eventRate,acceptRate
64000,0,0.864435,-421.867,0.00458179,0.33125
64500,0,0.377307,-418.941,0.0640089,0.35
65000,0,0.93036,-421.115,0.188986,0.2929
65500,0,-0.749556,-420.494,1.87799,0.302
66000,0,-1.73692,-419.82,2.86021,0.271
66500,0,0.915653,-419.518,0.211767,0.298
67000,0,0.950812,-420.766,0.154606,0.27425
67500,0,1.08177,-421.996,0.00363966,0.196
68000,0,-0.0564213,-419.27,0.184607,0.349
68500,0,0.961468,-420.449,0.175641,0.352
69000,0,1.00594,-420.116,0.113152,0.2565
69500,0,0.734516,-421.448,0.380118,0.284
70000,0,0.969071,-420.539,0.150795,0.264
70500,0,0.555807,-420.133,0.554806,0.222
71000,0,0.750983,-420.259,0.365464,0.335273
71500,0,-0.872671,-420.714,1.97337,0.314
72000,0,1.00172,-419.317,0.131196,0.273
72500,0,0.810092,-420.628,0.294112,0.316
73000,0,0.10415,-420.292,1.0199,0.253333
73500,0,0.847177,-420.166,0.26407,0.284
74000,0,0.33173,-420.038,0.776848,0.283
74500,0,0.858654,-420.48,0.259899,0.284
75000,0,1.10086,-419.438,0.0229382,0.291
75500,0,1.08354,-419.961,0.0359155,0.294
76000,0,1.12355,-419.067,0.0111196,0.2815
76500,0,0.545629,-418.434,0.594296,0.274
77000,0,0.675518,-420.246,0.464598,0.349222
77500,0,0.10598,-419.945,0.581492,0.324
78000,0,0.179457,-421.151,0.917759,0.27
78500,0,0.467424,-421.056,0.643896,0.234
79000,0,0.146332,-418.197,0.994243,0.284667
79500,0,0.629364,-419.689,0.507806,0.284
80000,0,0.611712,-419.311,0.524978,0.303
80500,0,0.891343,-418.856,0.252867,0.378
81000,0,0.578088,-419.36,0.543174,0.273467
81500,0,1.06259,-419.713,0.0538513,0.27
82000,0,0.805033,-419.9,0.313515,0.264
82500,0,0.511637,-419.74,0.606607,0.256
83000,0,1.10537,-420.394,0.0208184,0.2756
83500,0,1.00345,-420.381,0.113171,0.292
84000,0,0.404591,-419.956,0.715678,0.3
84500,0,0.855238,-418.81,0.278423,0.286
85000,1,-0.869473,-419.12,1.55892,0.315
85500,0,0.943107,-419.102,0.181979,0.298
86000,0,0.761311,-419.126,0.369958,0.301
86500,0,0.891404,-419.214,0.232975,0.288
87000,0,1.1002,-421.965,0.0143092,0.271
87500,0,0.581719,-421.975,0.533803,0.298
88000,1,-1.40507,-421.901,0.115767,0.31
88500,0,0.824966,-420.809,0.276816,0.268
89000,0,1.10434,-420.558,0.00144083,0.256
89500,0,0.933401,-420.625,0.177817,0.284
90000,0,0.758332,-418.865,0.369077,0.29625
90500,0,0.502488,-418.774,0.626755,0.238
91000,0,0.730047,-418.327,0.184469,0.355857
91500,0,-0.15596,-420.692,0.184148,0.372
92000,0,0.708923,-419.05,0.434991,0.334
92500,0,0.413793,-421.073,0.722756,0.262
93000,0,0.780599,-420.128,0.332456,0.288538
93500,0,0.770676,-421.303,0.35199,0.302
94000,0,0.795891,-422.734,0.2817,0.275
94500,0,0.843472,-422.838,0.269466,0.258
95000,0,0.608743,-423.542,0.47431,0.297
95500,0,1.01552,-422.075,0.083278,0.308
96000,0,-0.0589789,-418.97,0.685896,0.36575
96500,0,-1.46449,-418.472,0.287321,0.372
97000,0,0.815642,-419.121,0.241169,0.361
97500,0,-0.8704,-418.267,1.79916,0.402
98000,0,0.796746,-420.438,0.318349,0.282556
98500,0,0.740305,-419.331,0.296099,0.348
99000,0,-3.0334,-418.218,0.647539,0.364
99500,0,-1.19846,-418.52,0.846979,0.388
100000,0,0.528474,-420.036,0.507763,0.375
100500,0,-0.25993,-418.549,0.944384,0.388
101000,0,-0.565805,-418.913,1.25266,0.373
101500,0,0.873032,-420.506,0.220236,0.322
102000,0,0.78361,-419.187,0.169957,0.353
