generation,N_shifts,logPrior,logLik,eventRate,acceptRate
292000,11,-20.6025,-47847,5.84129,0.293
292500,12,-13.0861,-47850.7,5.79214,0.304
293000,12,-16.1825,-47850.3,6.74141,0.288
293500,10,-12.9106,-47850.8,7.68972,0.274
294000,10,-11.2302,-47850.7,6.58131,0.248
294500,10,-9.9549,-47848.5,2.79132,0.312
295000,10,-9.40837,-47848.1,2.95552,0.279
295500,11,-14.0902,-47847.4,7.34129,0.236
296000,13,-20.7009,-47719.1,9.84489,0.288923
296500,12,-18.1341,-47716.3,6.68204,0.246
297000,12,-14.7322,-47724.5,5.17186,0.284
297500,12,-17.4626,-47733.6,6.37975,0.278
298000,12,-22.6264,-47730.2,6.62476,0.287
298500,13,-20.4313,-47732.4,7.24051,0.298
299000,12,-26.6505,-47730.1,8.32997,0.289
299500,14,-17.1383,-47734.6,6.23894,0.262
300000,14,-21.843,-47744,6.3299,0.292
300500,14,-19.1456,-47730,7.0126,0.282
301000,13,-16.907,-47730.5,7.87273,0.278
301500,14,-22.0621,-47731.4,5.03386,0.288
302000,15,-17.4023,-47726.7,6.73782,0.302
302500,15,-23.6872,-47721.1,6.60796,0.328
303000,15,-20.8211,-47717.8,7.63149,0.336
303500,15,-23.298,-47726.6,9.89912,0.354
304000,15,-18.0644,-47728.9,6.19291,0.343
304500,15,-17.1849,-47725.1,7.893,0.294
305000,15,-26.3096,-47720.5,6.82073,0.329
305500,15,-21.9358,-47722.9,8.6052,0.292
306000,14,-15.1722,-47721.2,4.72495,0.3
306500,14,-15.2714,-47721,7.77942,0.296
307000,14,-17.9752,-47721.2,6.87827,0.313
307500,12,-14.299,-47726.7,3.90765,0.29
308000,12,-25.0414,-47726.2,6.37222,0.301
308500,13,-19.4989,-47726.7,6.49445,0.282
309000,12,-22.1743,-47729.4,8.42594,0.303
309500,12,-17.9283,-47722.8,5.35494,0.29
310000,12,-16.42,-47725.1,6.62391,0.287
310500,13,-14.8522,-47726.4,7.59792,0.344
311000,13,-19.7719,-47714.8,6.70237,0.322
311500,13,-19.7231,-47721.1,6.92036,0.3
312000,13,-26.2754,-47715.2,8.36449,0.296
312500,13,-25.3296,-47717.1,5.36342,0.324
313000,13,-22.7653,-47720.8,11.4902,0.326
313500,13,-20.0349,-47722.1,10.3788,0.33
314000,12,-21.9339,-47733,8.68063,0.323
