"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0758625095012011;0,0731843171964907;0,0958684890096318;0,00651503896978481;0,300294846192118;0,0139948574478619;0,0582472620475817;0,0382899861025374;0,480931576968242;0,0402662580576901;0,0275070719094159;0,0517370466102832;-369,747005915925
2;0,0176931353564763;0,326539625285802;0,106255495462633;0,1639164766032;0,0331610471700066;0,0151044904798157;0,0719485168629892;0,0624876512326661;0,921435332987141;0,00993394359775294;0,0507274787432419;0,0294105708336831;-369,973837879218
3;0,0470331589962308;0,0587095344503407;0,130807888743784;0,122120610795261;0,0322343355603367;0,0255316868528347;0,745914436768919;0,147578226465506;2,77770862852059;0,0205288320449087;0,15010562693714;0,0115518214632265;-368,371480834641
4;0,0892276844073743;0,142782728847922;0,102060822212356;0,133933333612624;0,0273761808424404;0,026269759384114;1,23602600632981;0,222950241158985;2,69154641500434;0,412085734862724;0,180311747295389;0,0489233501308393;-368,647161361344
5;0,112158834484675;0,209110945299829;0,0949199581535071;0,0566852957145087;0,193541870868848;6,66481222907958e-05;0,496684201439746;0,32500043383785;1,3981724546628;0,201019737176118;0,184784819137518;0,106119171553055;-367,497693667555
6;0,019156137566604;0,259373230340111;0,133951034568783;0,0318032326808483;0,138742286109262;0,0569203620255513;0,306604721689287;0,666708426681211;1,99112946699146;0,0210332414577864;0,276188918314357;0,0337377949869888;-369,674951904387
7;0,00288823235510407;0,121431788921853;0,176053246534507;0,0361473973995429;0,125615914398811;0,0189477506985458;1,39500317702319;0,682049913692073;3,81776490065514;0,00222399253870714;0,549662574817186;0,00728635432299645;-370,429652548359
8;0,0154715283442354;0,170432437619988;0,105750928091095;0,0112282155217731;0,0590259811672678;0,00800839584045976;0,897748055637672;0,675501479141163;2,64654439589791;0,90479857090316;0,49073370597498;0,0563447190892145;-366,587752519694
9;0,0226374033930863;0,180204690474658;0,1090973022494;0,00965178998923099;0,229962740149301;0,00705935236769004;1,40276579583684;0,612652579333064;8,12693302561307;0,564807705858717;0,562083261312406;0,0675443775447822;-373,389351118193
10;0,0547611935738428;0,322535707238295;0,0822934127578419;0,0032202185321294;0,0857662116083977;0,000819711969161203;1,74494220596026;0,698753515350208;4,86730654655433;1,19842273336586;0,458077635027146;0,366771292323882;-370,627171660899
11;0,0157349873600317;0,268050304348644;0,0862885656044664;0,033913664949165;0,0605078634369297;0,00157882114319517;2,75822746128866;0,824151833609908;5,4565730630171;0,914452841284398;0,230386794011809;0,260747344137952;-369,952059528987
12;0,016749235638096;0,26787227142908;0,0818294904763296;0,0596011615254766;0,0519864502984599;0,036922186811109;1,88850171640493;0,5497807920299;4,60360949927888;1,30025581097517;0,161158176547087;0,546111825370751;-370,954239953972
13;0,0774950910251625;0,302617775083438;0,0740427814918755;0,0203313481866175;0,184227175842294;0,0324550577102069;1,60792902156157;0,817071799977892;7,98630590840069;1,16176309460513;0,0663506231584069;0,452174785621956;-371,896689067367
14;0,0704684783786062;0,315315961023076;0,104043406564305;0,0303728990907882;0,286609443195749;0,0249144069230106;2,13418909348964;0,689620911885698;4,76042410886328;1,00492462823145;0,0497369961614461;0,535487204957507;-372,16569410728
15;0,0846625783519357;0,296888768036378;0,125349690312036;0,112710479026959;0,276734870887477;0,0140593889272349;0,421075217650125;0,647315234395981;4,51475032491586;1,02007429103837;0,0475458315920863;0,545231154132629;-371,503848304821
16;0,106412318541678;0,426551931197037;0,123180440250085;0,2423606074747;0,0487131694410773;0,0206458934797768;0,402013278054367;0,63222763946439;3,85567077681177;1,05803038067917;0,0429314503893554;0,549349331806425;-373,046846902438
