Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden[3]	extinction_hidden[4]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_hidden_unormalized[3]	extinction_hidden_unormalized[4]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	R[3]	R[4]	R[5]	R[6]	R[7]	R[8]	R[9]	R[10]	R[11]	R[12]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden[3]	speciation_hidden[4]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_hidden_unormalized[3]	speciation_hidden_unormalized[4]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
10	0	-801.645	-822.8994	21.25441	0.105083	0.116078	0.14995	0.16564	0.196909	0.217512	0.280985	0.310385	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.183232	0.202404	0.0004422164	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.000442216	0.219197	0.0290677	0.0421125	0.00185856	0.228078	0.173263	0.207631	0.0987924	0.137959	0.159578	0.284567	0.32916	0.495579	0.573238	1.02223	1.18241	0.284403	0.586636	1.02164	2.10732	0.8705098	0.367368	0.757767	1.31967	2.72206	0.485083	0.561097	0.000515363	0.00163746
11	1	-698.5309	-717.2512	18.72027	0.892115	0.621301	0.899655	0.626553	0.905476	0.630606	0.913129	0.635936	0.98839	0.996744	1.00319	1.01167	0.01011964	0.988426	0.996781	1.00323	1.01171	0.902594	0.628599	3.486841e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	3.48684e-07	0.0952434	0.172915	0.159053	0.0605577	0.236496	0.0106383	0.140049	0.125048	0.912225	0.649981	0.948213	0.675623	0.976745	0.695953	1.01528	0.723409	0.947161	0.984527	1.01415	1.05416	0.04652086	0.947891	0.985286	1.01493	1.05497	0.963115	0.686242	0.00312639	0.00123311
12	0	-786.9082	-808.7881	21.87991	0.0573058	0.110967	0.0839032	0.16247	0.11237	0.217593	0.164524	0.318585	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.104526	0.202404	0.0003300234	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.000330023	0.225666	0.0299256	0.0433553	0.00191341	0.234809	0.178377	0.184246	0.101708	0.118564	0.159578	0.244561	0.32916	0.425907	0.573238	0.878515	1.18241	0.284403	0.586636	1.02164	2.10732	0.8705098	0.367368	0.757767	1.31967	2.72206	0.416887	0.561097	0.000572519	0.00175183
13	1	-699.0874	-717.1204	18.03307	0.89222	0.621374	0.899685	0.626573	0.905447	0.630587	0.913023	0.635863	0.988506	0.996777	1.00316	1.01155	0.01001816	0.988542	0.996813	1.0032	1.01159	0.902594	0.628599	5.258583e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	5.25858e-07	0.0952434	0.172915	0.159053	0.0605577	0.236496	0.0106383	0.140049	0.125048	0.912225	0.649981	0.948213	0.675623	0.976745	0.695953	1.01528	0.723409	0.947161	0.984527	1.01415	1.05416	0.04652086	0.947891	0.985286	1.01493	1.05497	0.963115	0.686242	0.0043011	0.00123311
14	0	-775.8028	-797.2593	21.45648	0.0667578	0.110991	0.0977421	0.162506	0.130904	0.217641	0.191661	0.318655	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.121766	0.202449	0.0002331252	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.000233125	0.223544	0.0296442	0.0429477	0.00189542	0.232601	0.176699	0.182513	0.110154	0.169505	0.147537	0.349637	0.304324	0.6089	0.529986	1.25597	1.0932	0.284403	0.586636	1.02164	2.10732	0.8705098	0.367368	0.757767	1.31967	2.72206	0.596004	0.518762	0.000679973	0.00172684
15	1	-699.4941	-717.0685	17.57441	0.892678	0.621694	0.899815	0.626664	0.905322	0.630499	0.912559	0.63554	0.989015	0.996921	1.00302	1.01104	0.009573856	0.989047	0.996954	1.00306	1.01107	0.902594	0.628599	3.029912e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	3.02991e-07	0.0939928	0.170644	0.156964	0.0597624	0.246522	0.0104986	0.13821	0.123406	0.912225	0.649981	0.948213	0.675623	0.976745	0.695953	1.01528	0.723409	0.947161	0.984527	1.01415	1.05416	0.04652086	0.947891	0.985286	1.01493	1.05497	0.963115	0.686242	0.00505291	0.00126678
16	0	-767.5906	-788.4428	20.85211	0.125016	0.110991	0.18304	0.162506	0.245141	0.217641	0.358919	0.318655	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.228029	0.202449	0.0001974499	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.223941	0.0296968	0.0412482	0.00189878	0.233014	0.177013	0.182837	0.11035	0.182672	0.158998	0.363237	0.316162	0.615067	0.535354	1.22304	1.06453	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.596004	0.518762	0.000804574	0.00172684
17	1	-698.2657	-716.7149	18.44915	0.892678	0.621694	0.899815	0.626664	0.905322	0.630499	0.912559	0.63554	0.989015	0.996921	1.00302	1.01104	0.009573856	0.989047	0.996954	1.00306	1.01107	0.902594	0.628599	4.199714e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	4.19971e-07	0.0830085	0.108344	0.297842	0.0527784	0.217713	0.00927172	0.122058	0.108984	0.914151	0.651354	0.948807	0.676046	0.976247	0.695598	1.01326	0.721968	0.949161	0.985143	1.01363	1.05206	0.04473808	0.949837	0.985846	1.01436	1.05281	0.963115	0.686242	0.00350994	0.00131968
18	0	-763.563	-784.0065	20.44345	0.125016	0.104413	0.18304	0.152874	0.245141	0.204742	0.358919	0.299769	0.548245	0.802703	1.07505	1.57401	0.4584073	0.590179	0.8641	1.15727	1.6944	0.228029	0.19045	0.0001974499	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.00019745	0.124303	0.034733	0.0482434	0.00222079	0.272531	0.207033	0.213844	0.0970925	0.182672	0.144769	0.363237	0.287868	0.615067	0.487446	1.22304	0.969267	0.306495	0.609455	1.03199	2.05206	0.8264442	0.386471	0.768482	1.30127	2.58752	0.596004	0.472338	0.000789596	0.00270497
19	1	-699.1397	-717.9735	18.83386	0.891303	0.620736	0.899424	0.626392	0.905697	0.630761	0.91395	0.636508	0.987491	0.996489	1.00344	1.01258	0.01090606	0.987533	0.996531	1.00348	1.01262	0.902594	0.628599	4.801064e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	4.80106e-07	0.0345785	0.0848483	0.468927	0.0413328	0.170499	0.0188761	0.0955885	0.0853496	0.914151	0.651354	0.948807	0.676046	0.976247	0.695598	1.01326	0.721968	0.949161	0.985143	1.01363	1.05206	0.04473808	0.949837	0.985846	1.01436	1.05281	0.963115	0.686242	0.00284844	0.00131968
