"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0825404436026257;0,141005200110468;0,0914392415026255;0,0873068729882328;0,24764797503071;0,00813806166879741;0,0218384082475462;0,0145139514344875;0,426031264008572;0,0255640827139563;0,047969378166271;0,0326898345811255;-376,189733069324
2;0,0617297446545564;0,191689340815574;0,103209606604084;0,153952879644658;0,100307532385595;0,00145348362180673;0,0250280939942328;0,0805878582714143;0,500650519124069;0,0207639470742692;0,0534611553836747;0,0494513405688449;-367,763177300496
3;0,0415587393497103;0,0587489821501146;0,141007421463275;0,0934406262256266;0,00509671037152449;0,0305249902148158;0,317378142129097;0,169114651741527;0,792674082024524;0,0695438776436346;0,0702820420569389;0,0261284652066189;-368,408512111209
4;0,0340151699022834;0,15298975945572;0,0959969830647943;0,0801447815626228;0,00575662245869664;0,0113438532944616;0,238690825590201;0,152492465840106;0,488682667724441;0,0721678295111584;0,126138389516025;0,00147174780519686;-365,677081725932
5;0,000633157958930318;0,308284474610808;0,113471340541608;0,276198495304185;0,0545711727490036;0,0554574005710764;0,268453985797119;0,19823927050423;0,485132685180292;0,0578621006845003;0,152752979519947;0,00268662791675632;-371,400477900206
6;0,04677146827506;0,352142474356943;0,0478403421158933;0,287733244771514;0,0340329619715333;0,0559966231551885;0,248851009806152;0,349417767608349;0,459969595019607;0,155966595530026;0,350567963633755;0,0229253977931088;-372,910777016793
7;0,0889415648937524;0,347102668864692;0,0749860617356395;0,188690601607306;0,0938551950507032;0,00113742845767304;0,131801350681284;0,415256816443746;0,329668493227787;0,168289043574308;0,439454507722917;0,0251697133300857;-370,314313327882
8;0,0542111378052827;0,320330228176428;0,0576078633333098;0,0221801385346043;0,118964084911644;0,0229337681534803;0,184490799421933;0,763162215120458;0,155951896984511;0,310793657062557;0,565370412373974;0,0276821859912631;-367,203992843626
9;0,0369358306421125;0,321592140394995;0,0443029943373671;0,0889817581400898;0,0809681314773801;0,00836039839737151;0,133272107230074;0,840717052011267;0,175610911447429;0,316045236307526;0,633884211188197;0,0380688598133613;-367,705557004496
10;0,0505016696245939;0,355698802764997;0,0766234440496638;0,214628986835761;0,144858624009607;0,0116236554217951;0,154175828509119;1,44424535105477;0,168469398846169;0,252260589545421;0,886656353884062;0,0439242827962052;-369,539917755268
11;0,0273394824259905;0,331160059480435;0,0754312564700611;0,190963887315013;0,165457995231711;0,000698712177434277;0,151750517181732;2,57573940424575;0,144875621164342;0,201657646905237;1,55074330342881;0,0198112237654822;-369,462657972088
