Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	0	-8459.039	-8469.216	10.17693	0.0984003	0.0984003	0.328247	0.328247	0.461273	1.53873	0.8930616	0.547517	1.82643	0.213323	0.213323	0.003587982	0.00358798	0.00358798	0.234144	0.11361	0.422575	0.229671	1.62726	1.62726	2.63921	2.63921	0.762814	1.23719	0.3584787	0.785221	1.27353	2.13323	2.13323	0.000352913	0.00104094
1	1	-9452.171	-9461.784	9.612166	0.0323267	0.0323267	0.39432	0.39432	0.151538	1.84846	1.854195	0.286323	3.49256	0.213323	0.213323	0.0008584915	0.000858491	0.000858491	0.104679	0.14025	0.28972	0.465351	1.74441	1.74441	2.52206	2.52206	0.81773	1.18227	0.2732877	0.831662	1.20241	2.13323	2.13323	0.000473055	0.00200308
2	0	-2292.771	-2304.189	11.41763	0.105306	0.103883	0.327187	0.322764	0.486972	1.51303	0.8403845	0.567321	1.76267	0.216246	0.213323	0.002758517	0.00275852	0.00275852	0.313209	0.0724119	0.391221	0.223158	0.47578	1.40498	0.998217	2.94774	0.645564	1.35444	0.5493155	0.690384	1.44847	0.736998	2.17636	0.000467493	0.000961552
3	1	-1363.489	-1372.848	9.359451	0.0424929	0.0744041	0.518328	0.90758	0.151538	1.84846	1.854195	0.286323	3.49256	0.28041	0.490992	0.001597816	0.00159782	0.00159782	0.0860088	0.229231	0.473529	0.211231	1.52066	0.508525	2.38908	0.798936	0.777882	1.22212	0.3348946	0.797811	1.25343	1.95487	0.653731	0.000473055	0.00181634
4	0	-784.4515	-796.6904	12.23892	0.238861	0.14023	0.547607	0.321488	0.607427	1.39257	0.6150405	0.660447	1.51413	0.393234	0.230859	0.002252499	0.0022525	0.0022525	0.182162	0.0862288	0.46587	0.265739	0.255683	0.373388	0.812029	1.18585	0.478936	1.52106	0.8566467	0.561132	1.78211	0.533856	0.779619	0.000523185	0.000898434
5	1	-994.607	-1004.43	9.822699	0.0951112	0.111958	0.739108	0.870026	0.228025	1.77198	1.519961	0.358725	2.78765	0.41711	0.490992	0.0009034421	0.000903442	0.000903442	0.265547	0.145553	0.40724	0.181661	1.26347	0.428809	2.64626	0.898115	0.646321	1.35368	0.548033	0.690981	1.44722	1.95487	0.663462	0.00049269	0.00130166
6	0	-744.3377	-756.9898	12.65212	0.238861	0.182619	0.547607	0.418669	0.607427	1.39257	0.6150405	0.660447	1.51413	0.393234	0.300644	0.001641818	0.00164182	0.00164182	0.107552	0.0742542	0.661296	0.156898	0.267162	0.308049	0.839948	0.968495	0.482629	1.51737	0.8491502	0.563976	1.77312	0.553555	0.638272	0.000523185	0.000618786
7	1	-934.4223	-945.0402	10.61794	0.0951112	0.115238	0.739108	0.895516	0.228025	1.77198	1.519961	0.358725	2.78765	0.41711	0.505377	0.0006607791	0.000660779	0.000660779	0.223553	0.247565	0.375949	0.152933	0.806889	0.428809	1.68998	0.898115	0.646321	1.35368	0.548033	0.690981	1.44722	1.24843	0.663462	0.00049269	0.000876356
8	0	-734.3301	-746.5773	12.24714	0.237445	0.263056	0.549023	0.608241	0.603826	1.39617	0.6213619	0.657637	1.5206	0.393234	0.435649	0.001641818	0.00164182	0.00164182	0.196477	0.135648	0.381255	0.286621	0.270175	0.311524	0.836935	0.96502	0.488073	1.51193	0.8381701	0.568169	1.76004	0.553555	0.638272	0.000764484	0.000452156
9	1	-879.5958	-890.3537	10.7579	0.125215	0.115238	0.973041	0.895516	0.228025	1.77198	1.519961	0.358725	2.78765	0.549128	0.505377	0.0006155022	0.000615502	0.000615502	0.223553	0.247565	0.375949	0.152933	0.598568	0.428809	1.25366	0.898115	0.646321	1.35368	0.548033	0.690981	1.44722	0.926116	0.663462	0.000462708	0.000744833
