Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	0	-9805.732	-9814.989	9.257667	0.154543	0.154543	0.272104	0.272104	0.724454	1.27555	0.4193625	0.753629	1.32691	0.213323	0.213323	0.004461508	0.00446151	0.00446151	0.133063	0.34351	0.435144	0.0882819	1.92241	1.92241	2.34406	2.34406	0.90117	1.09883	0.1470048	0.905604	1.10424	2.13323	2.13323	0.00345398	0.000774713
1	1	-1360.123	-1368.734	8.611555	0.198479	0.198479	0.228167	0.228167	0.930416	1.06958	0.1033329	0.932676	1.07218	0.213323	0.213323	0.0003653093	0.000365309	0.000365309	0.166747	0.583589	0.117101	0.132563	0.420019	0.420019	3.84645	3.84645	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	2.13323	0.000625916	0.00528013
2	0	-5496.13	-5504.112	7.981392	0.210819	0.119804	0.515843	0.293141	0.580241	1.41976	0.663316	0.639288	1.56424	0.363331	0.206473	0.00452328	0.00452328	0.00452328	0.115732	0.29877	0.508714	0.0767836	1.22628	3.65801	1.44105	4.29868	0.91948	1.08052	0.1196376	0.922476	1.08404	1.33367	3.97835	0.00371754	0.000901298
3	1	-716.5008	-724.301	7.800256	0.41165	0.195039	0.488835	0.231608	0.914286	1.08571	0.1273925	0.917663	1.08972	0.450242	0.213323	0.0002804555	0.000280455	0.000280455	0.201694	0.559113	0.112189	0.127003	0.420019	0.225272	3.84645	2.06299	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.14413	0.000950852	0.00618927
4	0	-3782.881	-3789.14	6.259127	0.0717195	0.109206	0.654943	0.997271	0.197394	1.80261	1.639598	0.330915	3.02192	0.363331	0.553238	0.003942968	0.00394297	0.00394297	0.115732	0.29877	0.508714	0.0767836	1.06961	2.43198	1.25532	2.85423	0.920123	1.07988	0.1186792	0.923072	1.08334	1.16247	2.64311	0.00371754	0.000810505
5	1	-701.5097	-708.9535	7.443854	0.406805	0.187895	0.516916	0.238752	0.880797	1.1192	0.1775756	0.887122	1.12724	0.46186	0.213323	0.0001984358	0.000198436	0.000198436	0.16851	0.467124	0.258258	0.106108	0.420019	0.225272	3.84645	2.06299	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.14413	0.00117501	0.00648361
6	0	-1233.153	-1240.205	7.052	0.0927648	0.179311	0.847128	1.63747	0.197394	1.80261	1.639598	0.330915	3.02192	0.469947	0.908389	0.002250462	0.00225046	0.00225046	0.116998	0.298342	0.507986	0.0766737	0.804315	1.85557	0.9178	2.11738	0.934101	1.0659	0.09784391	0.936136	1.06822	0.861058	1.98647	0.00355266	0.0010235
7	1	-697.8891	-704.1314	6.24232	0.407212	0.188082	0.516509	0.238565	0.881677	1.11832	0.1762515	0.887915	1.12623	0.46186	0.213323	0.0001827395	0.00018274	0.00018274	0.388659	0.23041	0.1362	0.244731	0.420019	0.228808	3.84645	2.09538	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.16209	0.00142193	0.00836502
8	0	-1176.282	-1183.584	7.302064	0.0927648	0.179311	0.847128	1.63747	0.197394	1.80261	1.639598	0.330915	3.02192	0.469947	0.908389	0.001724992	0.00172499	0.00172499	0.108545	0.337667	0.408861	0.144928	0.822139	1.89669	0.899976	2.07626	0.954802	1.0452	0.06705655	0.955779	1.04627	0.861058	1.98647	0.00355266	0.00119755
9	1	-694.1784	-699.9453	5.766928	0.405432	0.193628	0.518288	0.247526	0.877824	1.12218	0.1820474	0.88445	1.13065	0.46186	0.220577	0.0001716351	0.000171635	0.000171635	0.316042	0.18736	0.110752	0.385847	0.420019	0.245266	3.84645	2.2461	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.24568	0.00142193	0.00902087
10	0	-1078.606	-1085.851	7.245247	0.0927648	0.216924	0.847128	1.98095	0.197394	1.80261	1.639598	0.330915	3.02192	0.469947	1.09893	0.001439746	0.00143975	0.00143975	0.0874015	0.642878	0.196793	0.0729272	0.832146	1.91977	0.889969	2.05317	0.966423	1.03358	0.04980023	0.966968	1.03416	0.861058	1.98647	0.00371387	0.00113626
11	1	-688.7179	-696.2977	7.579844	0.405432	0.184382	0.518288	0.235707	0.877824	1.12218	0.1820474	0.88445	1.13065	0.46186	0.210044	0.0001267533	0.000126753	0.000126753	0.274847	0.135555	0.254045	0.335554	0.420019	0.245266	3.84645	2.2461	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.24568	0.000993942	0.00635739
12	0	-1028.13	-1035.184	7.054118	0.0953131	0.222882	0.84458	1.97499	0.202817	1.79718	1.617276	0.335935	2.97676	0.469947	1.09893	0.0009938698	0.00099387	0.00099387	0.159257	0.120304	0.587557	0.132882	0.810655	1.92213	0.864926	2.05081	0.967611	1.03239	0.04803714	0.968119	1.03293	0.837791	1.98647	0.00486316	0.000894286
13	1	-679.5499	-686.5073	6.957343	0.403038	0.182159	0.520683	0.23533	0.87264	1.12736	0.1898545	0.879805	1.13662	0.46186	0.208745	7.602006e-05	7.60201e-05	7.60201e-05	0.364046	0.167759	0.344207	0.123987	0.420019	0.259232	3.84645	2.37399	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.31661	0.00122399	0.00717382
14	0	-1002.992	-1009.703	6.711391	0.0953131	0.222882	0.84458	1.97499	0.202817	1.79718	1.617276	0.335935	2.97676	0.469947	1.09893	0.0006962546	0.000696255	0.000696255	0.174278	0.0691348	0.611171	0.145416	0.810655	1.87315	0.864926	1.99855	0.967611	1.03239	0.04803714	0.968119	1.03293	0.837791	1.93585	0.00567453	0.00103578
15	1	-675.9131	-682.3758	6.46269	0.39794	0.179855	0.52578	0.237634	0.861603	1.1384	0.206513	0.869975	1.14946	0.46186	0.208745	4.847982e-05	4.84798e-05	4.84798e-05	0.26118	0.120357	0.246947	0.371515	0.420019	0.259232	3.84645	2.37399	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.31661	0.00127309	0.00798132
16	0	-988.2216	-994.7763	6.554677	0.0953131	0.222882	0.84458	1.97499	0.202817	1.79718	1.617276	0.335935	2.97676	0.469947	1.09893	0.000401795	0.000401795	0.000401795	0.220891	0.380463	0.214336	0.18431	0.809464	1.8704	0.866117	2.00131	0.966189	1.03381	0.05014728	0.966742	1.0344	0.837791	1.93585	0.00630334	0.000973687
17	1	-674.0111	-680.5736	6.562502	0.39794	0.179855	0.52578	0.237634	0.861603	1.1384	0.206513	0.869975	1.14946	0.46186	0.208745	4.564943e-05	4.56494e-05	4.56494e-05	0.322736	0.279894	0.314582	0.0827886	0.420019	0.242831	3.84645	2.2238	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.23331	0.00114516	0.00805082
18	0	-986.2784	-992.8238	6.545362	0.0953131	0.222882	0.84458	1.97499	0.202817	1.79718	1.617276	0.335935	2.97676	0.469947	1.09893	0.0002870424	0.000287042	0.000287042	0.362863	0.179566	0.246018	0.211553	0.810422	1.87261	0.865159	1.99909	0.967333	1.03267	0.04845013	0.967849	1.03322	0.837791	1.93585	0.00630334	0.00111014
19	1	-673.1338	-680.1245	6.990666	0.39794	0.179855	0.52578	0.237634	0.861603	1.1384	0.206513	0.869975	1.14946	0.46186	0.208745	3.830102e-05	3.8301e-05	3.8301e-05	0.283043	0.24547	0.398881	0.0726065	0.420019	0.242831	3.84645	2.2238	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.23331	0.00106736	0.0073747
20	0	-988.3288	-994.9225	6.593691	0.0871337	0.203756	0.852759	1.99411	0.185412	1.81459	1.690933	0.319654	3.12839	0.469947	1.09893	0.0003340045	0.000334004	0.000334004	0.405563	0.200697	0.157292	0.236448	0.802889	1.85521	0.872692	2.0165	0.958341	1.04166	0.06179969	0.959174	1.04256	0.837791	1.93585	0.0061272	0.00089003
21	1	-674.5713	-681.2687	6.697364	0.39794	0.200516	0.52578	0.264933	0.861603	1.1384	0.206513	0.869975	1.14946	0.46186	0.232724	4.28232e-05	4.28232e-05	4.28232e-05	0.283043	0.24547	0.398881	0.0726065	0.420019	0.242831	3.84645	2.2238	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.23331	0.00142317	0.00734251
22	0	-987.5269	-992.8701	5.343224	0.0858384	0.203756	0.840083	1.99411	0.185412	1.81459	1.690933	0.319654	3.12839	0.462961	1.09893	0.0003662875	0.000366287	0.000366287	0.627768	0.0403478	0.0422459	0.289638	0.802889	1.85521	0.872692	2.0165	0.958341	1.04166	0.06179969	0.959174	1.04256	0.837791	1.93585	0.00844368	0.000791219
23	1	-669.1995	-675.2166	6.017102	0.411078	0.207136	0.512642	0.258313	0.890049	1.10995	0.1636759	0.895478	1.11672	0.46186	0.232724	3.535078e-05	3.53508e-05	3.53508e-05	0.381225	0.330619	0.190364	0.0977923	0.420019	0.267349	3.84645	2.44832	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.35784	0.00172101	0.00822028
24	0	-988.7243	-994.0889	5.364604	0.0858384	0.203756	0.840083	1.99411	0.185412	1.81459	1.690933	0.319654	3.12839	0.462961	1.09893	0.0004214109	0.000421411	0.000421411	0.55284	0.0603509	0.0301264	0.356683	0.808378	1.86789	0.867203	2.00382	0.964892	1.03511	0.05207206	0.965488	1.03575	0.837791	1.93585	0.00844368	0.000727527
25	1	-666.8349	-670.9342	4.099216	0.411078	0.211287	0.512642	0.263489	0.890049	1.10995	0.1636759	0.895478	1.11672	0.46186	0.237388	3.495371e-05	3.49537e-05	3.49537e-05	0.433632	0.440031	0.0762532	0.050084	0.420019	0.267349	3.84645	2.44832	0.196893	1.80311	1.641689	0.330449	3.02618	2.13323	1.35784	0.00143201	0.0118844
26	0	-986.1078	-991.3205	5.212748	0.086001	0.203756	0.841675	1.99411	0.185412	1.81459	1.690933	0.319654	3.12839	0.463838	1.09893	0.0003051152	0.000305115	0.000305115	0.55284	0.0603509	0.0301264	0.356683	0.808378	1.86789	0.867203	2.00382	0.964892	1.03511	0.05207206	0.965488	1.03575	0.837791	1.93585	0.00897874	0.000575397
