"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0553870392805711;0,0791530820451362;0,125382252888182;0,00255867984157591;0,109230923996858;0,0342777112115406;0,0309227977495337;0,0282228012837597;0,119277616185523;0,0343024184608219;0,0248151800311523;0,0407967992433174;-368,463311465897
2;0,0620930280540827;0,127514804604159;0,132622921064618;0,0385811556647044;0,124567903017627;0,00139285988558111;0,00246276043912363;0,046327808631508;0,199469625085651;0,0476135024944154;0,0477099547458904;0,0412704250122926;-367,961549916725
3;0,0786403903511527;0,0718581438860238;0,124700951102106;0,266504405819168;0,086269181378182;0,0105049709620378;0,0045022373033773;0,0593472317765084;0,353144170884378;0,0355882863686059;0,0589444562461373;0,0756234927083084;-369,090900638769
4;0,139959288116816;0,161180973530713;0,113946372272799;0,386348015374094;0,0812794744075264;0,00947719938631385;0,0263600783187623;0,242267210108541;0,320344021560373;0,0840601249396829;0,0594115879498084;0,0712309354967904;-373,027007679912
5;0,122717273192593;0,0573996263558983;0,116830135374697;0,119373424050742;0,0552469815133098;0,00441450249568287;0,0201278295667661;0,210709914779546;0,436222020211112;0,0440416855840899;0,0683298857002671;0,0936132068637038;-365,621317372539
6;0,0295348660990402;0,0724689577622327;0,132519279785075;0,157528347767856;0,0510776143303457;0,0143597598871045;0,0364336598091919;0,178816512700152;0,294036366645809;0,178583883843632;0,0697665644492551;0,0807970691351058;-366,413785913386
7;0,0656379944946508;0,156983419437939;0,128053689307754;0,168976658177745;0,049904127938297;0,0937923557982474;0,0722497575924897;0,458549517005204;0,579316987135666;0,170734824959749;0,0649572972994467;0,272028941362638;-375,68549244581
8;0,13492812707339;0,167821162039939;0,130390383123508;0,0795785734511152;0,0331357242771346;0,0700121833710716;0,0132588172318759;0,280480346546807;1,40911895274085;2,71997859219072;0,107581892907075;0,452240366941579;-374,358407510678
9;0,0734185785436337;0,390570232281204;0,094455181154195;0,0409429566913015;0,0448146970088921;0,0558346525883495;0,61302752474978;0,213489429550075;1,4136813948669;5,33439730031466;0,304755586256538;0,960987100678134;-371,430964323297
10;0,0454681153721268;0,313054220228784;0,110098016870429;0,0249872352188023;0,160657663151503;0,0275637769763937;0,626722157844938;0,288793841651043;1,10246696364624;6,76980173334677;0,350955218778312;0,734516806618117;-370,30704025448
11;0,097608276865827;0,00216399797905353;0,118449695090709;0,0409625042182249;0,0514133987968093;0,0598063413134135;0,755377294759971;0,441714869659686;0,0361543099518463;7,27292052811491;0,430051286444763;0,953071487277356;-371,966426722617
12;0,141891431175374;0,0712001107206478;0,115623878084005;0,0801194439707267;0,0102655821797324;0,067583692083336;0,508820526278153;0,348236128389163;0,205755446453575;6,66049882238988;0,376821296118033;0,673629606784237;-371,711361827567
13;0,14475650764706;0,0125799442144223;0,124440431073041;0,118530845522359;0,0282044122928911;0,0726327327926616;0,537825436100991;0,589284439343427;4,25096456623333;5,13255553675568;0,021069112181602;0,779233997789328;-375,056109425922
14;0,161216031695277;0,133119769734101;0,119790414646731;0,107452608560124;0,115060683209527;0,020246104962879;0,200698627920415;0,651793239192618;2,15122769267909;2,12080286316407;0,0149284721831296;0,831072024101584;-371,368190740522
