"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
29;0,0271978929070474;0,193166748309754;0,0927606837145235;0,0270961786805396;0,150809714320663;0,0208110346295156;0,511624527028952;1,83511775667051;0,759826533896875;1,44323866426652;1,1020601832258;0,1237384716614;-368,919050600464
30;0,153153762191964;0,241333420015241;0,0786736364217174;0,126333870701666;0,0779017742849237;0,0217961212858925;0,512108030792284;1,49357058150369;0,00485299183108375;2,71460182246311;0,746623451773307;0,199967596808564;-370,243952364295
31;0,164197629149537;0,0338878828328328;0,111285814890126;0,0605046369712748;0,125185476761486;0,0361539588069849;0,538050594558878;0,970983014402208;1,10271613178576;2,53849690594728;0,763911612140006;0,396365436878523;-370,083293645347
32;0,163617996533414;0,0408260374114058;0,107009851793589;0,0544155614910111;0,121149617578104;0,0251206797294291;0,528422581248844;0,998464286881346;1,28882452366453;2,03703221299687;0,713280237870231;0,192557088788247;-369,947937114506
33;0,162575556436068;0,0743517352705544;0,0936934637153785;0,0103099887202661;0,559507841382342;0,000151890055613538;1,38644900623196;0,987175631465266;1,95785225337545;2,90115182675942;0,638401582624357;0,147930184436643;-371,202098778383
34;0,166135167663709;0,0931786374147069;0,0763671410860369;0,00620021540831178;0,452176424307102;0,00240856507307536;1,36518196834701;1,47178965939602;1,87280677487545;1,41361410129806;1,05532618958195;0,113942420294166;-370,564072361734
35;0,234962331541431;0,0278010635008987;0,0643850861167886;0,0106588389810911;0,218865317207683;0,0445049720093605;1,22606735933435;1,99957407767861;1,71740177078272;0,834941976787344;1,48765259778671;0,357383830127761;-374,379617291731
36;0,215077670461166;0,0692484099454041;0,062703031420276;0,00505811620264159;0,00186012508770535;0,0752203146646254;0,315579002329977;4,39504240298778;1,51761359085374;0,416973040357551;2,04078036424688;0,317387693570102;-370,030315029182
37;0,194080599301005;0,0301093120266166;0,0726540662213198;0,000317620036116241;0,0209314061967142;0,0100489700194129;0,143952357389939;6,69149238347715;1,85703075149577;0,189978607631683;1,75259558447187;0,325702006048353;-371,555366471441
38;0,106638340033994;0,010582761792637;0,0929193418120182;0,0255031725682211;0,242513081797438;0,00906237833235008;0,352595542046472;1,70129350105962;3,83457136155234;1,93871370720205;1,5787148652344;1,22931623312048;-377,872384710104
39;0,11580601777779;0,081368388243513;0,0910260233151367;0,0228697680075954;0,276546593813727;0,00683311606331474;0,692390394191567;4,4318007501221;5,11811555720934;2,0064066121149;2,00206640592129;0,509872270440827;-372,683430900095
40;0,104046660791629;0,219032631362686;0,0488993881525985;0,0575781322035032;0,0616195849734974;0,0011797159095373;3,12117341748075;3,81153149802786;5,04491805512337;3,66105144263114;2,43519653391005;0,804325320848379;-374,037027908976
41;0,15578581319644;0,185279973551048;0,0490972715279713;0,0194329221680882;0,122653291781732;0,00998925674996185;3,76698479281782;4,45791248494884;3,5720332467401;4,83824989116077;2,8237707907847;1,01001742428143;-376,357077369114
42;0,12099946122144;0,206180041145458;0,0586098725704462;0,0609946613771617;0,201445461045607;0,013534885273378;1,57417425900271;2,99337321333712;1,36306611074472;5,82017888962869;1,63351092728225;1,18182158244419;-374,420356897052
43;0,190477247848519;0,225137931557761;0,0367035636001497;0,0189631415556797;0,0830583985255399;0,0276630745254475;1,57084293260317;2,15258258641956;0,799681348941563;7,87281462313241;1,85506345381948;0,205696724618557;-372,591845242323
44;0,160191395083401;0,19708659214903;0,0455307523005223;0,0476008988194907;0,0533618246254211;0,0275342150210501;1,38262272670977;2,42638138765928;1,3502937627981;2,56274072725369;1,01855310618646;0,198344769791131;-371,679325294168
45;0,206535157616366;0,267662765921084;0,0315759405486556;0,0621515984339669;0,0836838778017589;0,0177402099025307;0,509804295629523;1,78813371179209;0,786163619284551;2,71230424703829;1,10334980878774;0,260859635033246;-369,769952945442
46;0,136185656252759;0,287478339343904;0,0553756963171146;0,00751056206993584;0,0922122947202925;0,0476516031362585;1,0101874812617;2,38194430304905;2,8105760263426;0,410388631364442;0,849798383274057;0,110703108832051;-370,447470943398
47;0,122529525144193;0,312588025808085;0,0681432317183654;0,00265634861789164;0,256290071361008;0,0360746452320295;0,773365723256907;1,68357621185061;2,95766561283619;0,209588565931075;0,736268268766878;0,0816508216775308;-369,506237459699
48;0,130453069501265;0,395962544397211;0,0568737677978094;0,0309482768044284;0,373564194276532;0,0133997207385568;1,08148706216614;1,37950559884589;3,66548503864412;0,461641578791567;0,749165522863044;0,111986945242001;-370,234738340348
49;0,140680147938047;0,401268426803875;0,0281524679349686;0,0329109920042189;0,262500532392175;0,0235870444557478;1,0985645673443;1,22295525686164;6,86771646600712;0,424282220087932;0,872557854125452;0,065103780406272;-373,324093388118
