Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
61	1	-659.5554	-664.0659	4.5105	0.244777	0.394482	0.285227	0.459671	0.923681	1.07632	0.1133716	0.926383	1.07947	0.265002	0.427077	1.079988e-05	1.07999e-05	1.07999e-05	0.8327	0.146815	0.00592842	0.0145572	0.263334	0.443468	0.815871	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.539603	0.908718	0.00162769	0.0166672
62	0	-669.4007	-674.4801	5.079354	0.211192	0.299296	1.12316	1.59173	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.945512	2.871565e-05	2.87156e-05	2.87156e-05	0.549246	0.19319	0.168591	0.0889724	0.23142	0.338707	0.953034	1.39486	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.866785	0.000629752	0.00945453
63	1	-660.5913	-665.5456	4.954289	0.244777	0.394482	0.285227	0.459671	0.923681	1.07632	0.1133716	0.926383	1.07947	0.265002	0.427077	1.149644e-05	1.14964e-05	1.14964e-05	0.267672	0.690851	0.0120031	0.0294737	0.263334	0.443468	0.815871	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.539603	0.908718	0.00162769	0.0158775
64	0	-665.7436	-668.3621	2.618546	0.211192	0.264658	1.12316	1.40751	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.836086	3.13179e-05	3.13179e-05	3.13179e-05	0.593511	0.128167	0.182179	0.096143	0.23142	0.338707	0.953034	1.39486	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.866785	0.000629752	0.0140459
65	1	-661.0362	-663.8678	2.831612	0.244777	0.396846	0.285227	0.462425	0.923681	1.07632	0.1133716	0.926383	1.07947	0.265002	0.429635	9.059447e-06	9.05945e-06	9.05945e-06	0.168789	0.752887	0.0226665	0.0556575	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00162769	0.0196848
66	0	-665.615	-669.3866	3.771537	0.211192	0.264658	1.12316	1.40751	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.836086	1.427099e-05	1.4271e-05	1.4271e-05	0.593511	0.128167	0.182179	0.096143	0.23142	0.338707	0.953034	1.39486	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.866785	0.000735233	0.0119075
67	1	-660.3706	-662.6101	2.239529	0.245324	0.384819	0.28468	0.446555	0.925743	1.07426	0.110297	0.928306	1.07723	0.265002	0.415687	7.636711e-06	7.63671e-06	7.63671e-06	0.195859	0.713255	0.0263016	0.0645838	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00163501	0.0207996
68	0	-663.5779	-667.0303	3.452338	0.211192	0.264658	1.12316	1.40751	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.836086	1.018265e-05	1.01827e-05	1.01827e-05	0.484713	0.104673	0.31536	0.0952544	0.23142	0.338707	0.953034	1.39486	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.866785	0.00130685	0.0119075
69	1	-660.81	-662.643	1.833055	0.235521	0.384819	0.273305	0.446555	0.925743	1.07426	0.110297	0.928306	1.07723	0.254413	0.415687	9.753841e-06	9.75384e-06	9.75384e-06	0.184558	0.714553	0.024784	0.0761049	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00242811	0.0207996
70	0	-663.1685	-666.0703	2.901713	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	9.267125e-06	9.26712e-06	9.26712e-06	0.381401	0.0823626	0.248144	0.288092	0.23142	0.338707	0.953034	1.39486	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.866785	0.00148151	0.012717
71	1	-660.2679	-663.5135	3.245637	0.235521	0.384819	0.273305	0.446555	0.925743	1.07426	0.110297	0.928306	1.07723	0.254413	0.415687	9.803764e-06	9.80376e-06	9.80376e-06	0.4337	0.329217	0.0582409	0.178842	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00261986	0.0180962
72	0	-663.6865	-667.6185	3.931979	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	7.389745e-06	7.38975e-06	7.38975e-06	0.381401	0.0823626	0.248144	0.288092	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00168234	0.0107264
73	1	-659.9594	-663.5437	3.584337	0.237389	0.387872	0.271437	0.443503	0.933086	1.06691	0.09935582	0.935182	1.06931	0.254413	0.415687	6.857253e-06	6.85725e-06	6.85725e-06	0.226711	0.649357	0.0304447	0.0934872	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00205372	0.0180962
74	0	-663.7806	-668.006	4.225396	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.172176e-05	1.17218e-05	1.17218e-05	0.116904	0.0200364	0.733136	0.129923	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00135363	0.0105291
75	1	-659.925	-664.5212	4.59612	0.238911	0.390358	0.269916	0.441017	0.939066	1.06093	0.09045283	0.940814	1.06291	0.254413	0.415687	7.620611e-06	7.62061e-06	7.62061e-06	0.24101	0.627242	0.0323648	0.0993834	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00200921	0.016368
76	0	-663.7095	-667.8473	4.137745	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.42605e-05	1.42605e-05	1.42605e-05	0.170433	0.0292107	0.610945	0.189412	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00153017	0.0105059
77	1	-659.2792	-661.4458	2.166569	0.237044	0.387307	0.271783	0.444068	0.931727	1.06827	0.1013795	0.933906	1.07077	0.254413	0.415687	7.760247e-06	7.76025e-06	7.76025e-06	0.352428	0.592734	0.0187008	0.0361369	0.257277	0.443468	0.797102	1.37397	0.488016	1.51198	0.8382864	0.568124	1.76018	0.527189	0.908718	0.00251381	0.0201499
78	0	-663.8724	-668.1437	4.271309	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.451799e-05	1.4518e-05	1.4518e-05	0.170433	0.0292107	0.610945	0.189412	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00129244	0.0105059
79	1	-658.5561	-660.2264	1.670269	0.237044	0.373794	0.271783	0.428574	0.931727	1.06827	0.1013795	0.933906	1.07077	0.254413	0.401184	7.845859e-06	7.84586e-06	7.84586e-06	0.358367	0.602722	0.0190159	0.0198952	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00223313	0.0213341
80	0	-664.3328	-669.0003	4.667473	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.36111e-05	1.36111e-05	1.36111e-05	0.327706	0.0467194	0.494915	0.130659	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00130826	0.0097866
81	1	-659.2974	-664.8437	5.546301	0.233821	0.368713	0.275005	0.433655	0.919062	1.08094	0.1202624	0.922087	1.0845	0.254413	0.401184	1.061723e-05	1.06172e-05	1.06172e-05	0.659694	0.258494	0.0451887	0.0366238	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00169159	0.0149241
82	0	-662.8184	-666.1088	3.290424	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.860738e-05	1.86074e-05	1.86074e-05	0.367855	0.0604356	0.40269	0.169019	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00129368	0.0122446
83	1	-660.2512	-663.8796	3.628386	0.23792	0.375176	0.270906	0.427191	0.935174	1.06483	0.09624671	0.937145	1.06707	0.254413	0.401184	1.3453e-05	1.3453e-05	1.3453e-05	0.742988	0.114593	0.0275621	0.114857	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00198845	0.0181072
84	0	-663.3786	-666.7495	3.370849	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	1.6202e-05	1.6202e-05	1.6202e-05	0.217907	0.0358004	0.238543	0.507749	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00104942	0.0123482
85	1	-661.3919	-662.6165	1.224603	0.23792	0.375176	0.270906	0.427191	0.935174	1.06483	0.09624671	0.937145	1.06707	0.254413	0.401184	1.840269e-05	1.84027e-05	1.84027e-05	0.495828	0.362184	0.0653392	0.0766492	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00249391	0.0218706
86	0	-664.6289	-668.1298	3.500936	0.211192	0.264016	1.12316	1.4041	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.834058	3.11976e-05	3.11976e-05	3.11976e-05	0.217907	0.0358004	0.238543	0.507749	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.000803131	0.0123482
87	1	-660.9593	-661.3524	0.3930704	0.234863	0.370354	0.273964	0.432013	0.923154	1.07685	0.1141571	0.925892	1.08004	0.254413	0.401184	1.324508e-05	1.32451e-05	1.32451e-05	0.657519	0.154189	0.0866466	0.101645	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00237196	0.023422
88	0	-664.3524	-666.6113	2.258921	0.211192	0.25521	1.12316	1.35727	0.316544	1.68346	1.238818	0.433627	2.30613	0.667178	0.806238	4.563328e-05	4.56333e-05	4.56333e-05	0.16739	0.0409381	0.272776	0.518896	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.000822081	0.0145835
89	1	-661.0322	-661.4174	0.3852817	0.236343	0.372688	0.272484	0.429679	0.928972	1.07103	0.1054836	0.931324	1.07374	0.254413	0.401184	9.899593e-06	9.89959e-06	9.89959e-06	0.525797	0.221477	0.0692885	0.183438	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00241541	0.023422
90	0	-663.1239	-665.7027	2.578771	0.21294	0.260413	1.13247	1.38494	0.316544	1.68346	1.238818	0.433627	2.30613	0.672703	0.822675	4.274838e-05	4.27484e-05	4.27484e-05	0.136529	0.025136	0.519732	0.318603	0.23142	0.331145	0.953034	1.36372	0.390762	1.60924	1.04925	0.492772	2.02934	0.592227	0.847432	0.00109317	0.013696
91	1	-660.0725	-663.845	3.772451	0.236867	0.372688	0.273088	0.429679	0.928972	1.07103	0.1054836	0.931324	1.07374	0.254977	0.401184	7.174305e-06	7.17431e-06	7.17431e-06	0.528942	0.222802	0.0637208	0.184535	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00179599	0.0180179
92	0	-663.8483	-664.6628	0.8144725	0.207076	0.249067	1.13833	1.36917	0.307826	1.69217	1.263351	0.426511	2.34461	0.672703	0.809117	4.493923e-05	4.49392e-05	4.49392e-05	0.409233	0.0171975	0.355589	0.217981	0.219288	0.312219	0.965166	1.37419	0.370276	1.62972	1.098546	0.476657	2.09794	0.592227	0.843205	0.00122208	0.0165168
93	1	-660.1387	-663.7847	3.646056	0.234534	0.369018	0.275421	0.43335	0.919822	1.08018	0.1191273	0.922793	1.08367	0.254977	0.401184	8.439233e-06	8.43923e-06	8.43923e-06	0.400688	0.411251	0.0482702	0.13979	0.253655	0.437225	0.800724	1.38021	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.908718	0.00171631	0.0182797
94	0	-671.4799	-673.8323	2.3524	0.211938	0.257227	1.16506	1.41402	0.307826	1.69217	1.263351	0.426511	2.34461	0.688499	0.835624	3.564783e-05	3.56478e-05	3.56478e-05	0.410079	0.0801607	0.356324	0.153437	0.242816	0.312219	1.06872	1.37419	0.370276	1.62972	1.098546	0.476657	2.09794	0.655769	0.843205	0.00122208	0.0135119
95	1	-663.0761	-666.0319	2.955856	0.229898	0.371001	0.280056	0.451943	0.901642	1.09836	0.1462983	0.906036	1.10371	0.254977	0.411472	1.099288e-05	1.09929e-05	1.09929e-05	0.335676	0.344525	0.0404383	0.279362	0.253655	0.456693	0.800724	1.44166	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.949179	0.00155173	0.0194642
96	0	-671.3429	-674.3931	3.050213	0.211938	0.177111	1.16506	0.97361	0.307826	1.69217	1.263351	0.426511	2.34461	0.688499	0.57536	3.433036e-05	3.43304e-05	3.43304e-05	0.537895	0.037769	0.352042	0.0722941	0.242816	0.241403	1.06872	1.0625	0.370276	1.62972	1.098546	0.476657	2.09794	0.655769	0.651953	0.00124769	0.0133677
97	1	-663.6377	-665.4365	1.798809	0.229898	0.371001	0.280056	0.451943	0.901642	1.09836	0.1462983	0.906036	1.10371	0.254977	0.411472	1.247524e-05	1.24752e-05	1.24752e-05	0.133603	0.464627	0.0250217	0.376748	0.253655	0.430714	0.800724	1.35966	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.895186	0.00259177	0.020584
98	0	-666.5947	-668.1852	1.590458	0.211938	0.177111	1.16506	0.97361	0.307826	1.69217	1.263351	0.426511	2.34461	0.688499	0.57536	3.408194e-05	3.40819e-05	3.40819e-05	0.333578	0.0544683	0.507695	0.104258	0.234013	0.241403	1.02998	1.0625	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.651953	0.00124769	0.0160291
99	1	-663.4782	-667.103	3.624854	0.229281	0.370004	0.280674	0.45294	0.899219	1.10078	0.1499265	0.903821	1.10641	0.254977	0.411472	1.201415e-05	1.20141e-05	1.20141e-05	0.094224	0.556816	0.0832568	0.265703	0.253655	0.430714	0.800724	1.35966	0.481145	1.51885	0.8521573	0.562834	1.77672	0.527189	0.895186	0.00192929	0.0179893
100	0	-668.2257	-665.2018	-3.023885	0.211938	0.177111	1.16506	0.97361	0.307826	1.69217	1.263351	0.426511	2.34461	0.688499	0.57536	5.461167e-05	5.46117e-05	5.46117e-05	0.189308	0.0309111	0.720614	0.0591673	0.234013	0.241403	1.02998	1.0625	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.651953	0.00231125	0.0231493
101	1	-662.191	-667.9104	5.71943	0.229281	0.370004	0.280674	0.45294	0.899219	1.10078	0.1499265	0.903821	1.10641	0.254977	0.411472	9.706104e-06	9.7061e-06	9.7061e-06	0.0867119	0.512423	0.156346	0.24452	0.253114	0.430714	0.799016	1.35966	0.481145	1.51885	0.8521573	0.562834	1.77672	0.526065	0.895186	0.00257494	0.0136256
102	0	-669.9378	-663.9013	-6.036491	0.210776	0.172905	1.16622	0.956679	0.306139	1.69386	1.268164	0.425129	2.35223	0.688499	0.564792	5.17395e-05	5.17395e-05	5.17395e-05	0.189308	0.0309111	0.720614	0.0591673	0.234013	0.263511	1.02998	1.15981	0.370276	1.62972	1.098546	0.476657	2.09794	0.631997	0.711659	0.00231125	0.0283711
