"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0842928494548894;0,0720759823575061;0,100030369583716;0,0114481464184448;0,0356736815096395;0,000478396294272975;0,0227497659507954;0,0669485108584393;0,49918489142546;0,0712484417150849;0,0290502748418297;0,0764044733594189;-370,002965401303
2;0,0637661142152215;0,102335284444991;0,0819020872055848;0,147301150801355;0,0147324692515148;0,00566816622220518;0,0951932115525924;0,182462303501655;0,464806275645958;0,134902216315744;0,107634747102796;0,0658895813612917;-370,67640640601
3;0,216171505983988;0,0628745540071652;0,0801820946668288;0,185302504765703;0,0102599218359484;0,0181501419274411;0,0955138224409719;0,236038990600164;0,391040946700867;0,148958073369862;0,206865266359872;0,0252388282729811;-370,043894894158
4;0,183164344142977;0,148651884998238;0,0630994339928488;0,159126910761239;0,0967134981325871;0,00264436598870855;0,294037605173797;0,363829653489077;0,59387267256111;0,409122427400801;0,26019190204506;0,0729304367482362;-369,563908210919
5;0,198186412297133;0,0882179636889758;0,0805820613974421;0,184464256360044;0,0650370931572113;0,00435640217546834;0,477444553267281;0,451378714511693;1,46591170802643;0,693668843927758;0,247117970905474;0,24312282919739;-371,175095730629
6;0,20622765798048;0,0609745616310296;0,0370643110423973;0,00890457776204345;0,3758716229164;0,0163254210325527;0,255648860988733;0,534802080535767;0,428778430559505;2,66099342686212;0,223199231111797;0,645107275900407;-372,129015868135
7;0,213889918384778;0,178710393581069;0,0505898376913422;0,0121739233824933;0,117496338797227;0,0694643479981603;0,0222988882761793;0,695042619919299;0,644949227753539;3,20286655768928;0,193962929124661;0,58165525951623;-371,126496716273
8;0,154325697006062;0,17857461218006;0,114486058110139;0,00792456631645634;0,490512844046286;0,0385495275649884;0,204268728674162;0,727048142952376;3,21297981284498;3,57152322443081;0,0789634702168029;1,04820779722864;-376,252048264362
9;0,125921884418909;0,243869521746788;0,0573323332012855;0,00216900819513095;0,427113832118747;0,0589764734600992;0,148417111454533;0,575361155692422;2,69024555017967;4,26491683003621;0,0977605642022401;0,794348970080557;-375,350625976099
10;0,252576103205924;0,156648806656682;0,0483109247772086;0,0565796790913138;0,574197986691247;0,00804303893081737;0,491209675724808;0,45098549299404;4,40051271643103;11,3603656668514;0,0689101659113143;1,76526371994634;-381,220890385723
11;0,164241071007502;0,461668920261515;0,0394447369014533;0,0268335188992366;0,646807676894467;0,0075472801312534;1,06220112436518;0,545715419245791;6,17830355168017;10,7216310731832;0,244057943183736;1,06362472944385;-379,83641275787
12;0,147069080240964;0,579117127813668;0,0400126325320352;0,0277255348079767;0,65274841854665;0,00624617390062665;1,18451443588334;0,510563315195209;7,98086307474478;5,82670128436485;0,0632847491128292;0,937282514117976;-378,270272934505
13;0,168984289088875;0,253664970624671;0,0829415260859547;0,094526765142865;0,379690129608518;0,05104137043043;1,37822702407171;0,631468884481951;8,85673699626;5,77378729760229;0,207883986325318;0,919788179897469;-381,397729956925
14;0,134270014280351;0,411872337377755;0,104724526777516;0,0683064224821896;0,179745432994328;0,047431481685679;1,13634289306636;1,21027760284149;6,20163703742805;4,6334649380015;0,300318396785807;0,940708169887247;-379,633982852549
15;0,00866283525896401;0,660226241542288;0,0889900881268179;0,0481099797012146;0,196348889623176;0,0660300332603922;1,24908168875495;1,30276761545965;3,02560961651634;3,79703463690958;0,986379877642802;0,771341006637902;-378,121498736278
16;0,0382354149834091;0,662302418477865;0,0450369512379859;0,0292448086197437;0,217619579002851;0,00464793346038566;1,32926712126203;2,23512528022628;5,5766851779061;4,53979640139944;0,796419131329352;0,497669557685769;-378,033507350308
17;0,0224670019565368;0,594586384579603;0,0495392982698865;0,0554416227916168;0,158333251907028;0,00218968651622023;1,11913714671419;1,80513396708396;5,75284982040472;2,01906479420804;0,807805008554304;0,556456748477865;-375,291601464259
18;0,0814642655991664;0,542703313564165;0,0600239122841365;0,00218823360723692;0,473704389122338;0,00952765651819453;0,691394839734016;1,89769727335362;6,55548966892509;0,775703588288995;0,710019498097247;0,499200602140837;-374,690915505064
19;0,0541523387915021;0,714252017272302;0,0502325320243255;0,00877616106241697;0,262286310729567;0,0140094024272754;1,39205615307155;1,86929522314506;9,80108076396078;1,24971727114842;0,544621324633529;0,744383375593353;-377,268997275897
20;0,0171004107172209;0,7227185332629;0,0418739031946904;0,00681931844690667;0,157733817129705;0,0187775581592299;1,42723435401264;2,0415849915571;9,59566012739346;0,158752615028554;0,359135338955021;0,893198388490571;-377,00794500064
21;0,0330416481876977;0,736932941363428;0,0583275556413773;0,0860520286814895;0,0280103077044449;0,0569885489933097;1,17121678276666;2,65598399906706;9,45729376794643;0,306614690673327;0,574580012563135;0,73227878553281;-378,743962732424
