Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	0	-9476.112	-9488.502	12.38923	0.192099	0.192099	0.234548	0.234548	0.900505	1.09949	0.1480005	0.904996	1.10498	0.213323	0.213323	0.0007697324	0.000769732	0.000769732	0.0338803	0.44379	0.390446	0.131884	1.90572	1.90572	2.36075	2.36075	0.893347	1.10665	0.1587283	0.898471	1.113	2.13323	2.13323	0.0019143	0.00122416
1	1	-6837.525	-6849.093	11.56855	0.191019	0.191019	0.235628	0.235628	0.895444	1.10456	0.155584	0.900379	1.11064	0.213323	0.213323	0.001057348	0.00105735	0.00105735	0.293735	0.229982	0.427194	0.0490883	1.42856	1.42856	2.83791	2.83791	0.669667	1.33033	0.5088318	0.709495	1.40945	2.13323	2.13323	0.000384183	0.00284315
2	0	-1820.536	-1832.858	12.32157	0.586441	0.147237	0.71603	0.179773	0.900505	1.09949	0.1480005	0.904996	1.10498	0.651235	0.163505	0.0008771571	0.000877157	0.000877157	0.0185534	0.328135	0.25001	0.403301	0.864478	1.49834	1.15867	2.00824	0.854586	1.14541	0.2171305	0.863767	1.15772	1.01158	1.75329	0.0019143	0.00122416
3	1	-1252.616	-1264.302	11.68628	0.514174	0.242557	0.617443	0.291273	0.908742	1.09126	0.1356765	0.91255	1.09583	0.565809	0.266915	0.0007567079	0.000756708	0.000756708	0.276739	0.216675	0.306112	0.200475	1.42856	0.427002	2.83791	0.848265	0.669667	1.33033	0.5088318	0.709495	1.40945	2.13323	0.637633	0.000398201	0.00299506
4	0	-949.275	-961.9453	12.67031	0.678419	0.144592	0.8559	0.182418	0.884326	1.11567	0.1722695	0.890303	1.12321	0.76716	0.163505	0.0007808835	0.000780884	0.000780884	0.0210859	0.236429	0.284135	0.45835	0.715821	1.56472	0.878078	1.9194	0.898201	1.1018	0.1514519	0.902892	1.10755	0.796949	1.74206	0.00156351	0.00132065
5	1	-912.5112	-924.9419	12.43072	0.619462	0.253693	0.684031	0.280136	0.950465	1.04953	0.07350085	0.951633	1.05082	0.651746	0.266915	0.0007339842	0.000733984	0.000733984	0.0882197	0.301619	0.0893432	0.520818	1.42856	0.353654	2.83791	0.702554	0.669667	1.33033	0.5088318	0.709495	1.40945	2.13323	0.528104	0.000277567	0.00208668
6	0	-910.3901	-923.3545	12.96433	0.681342	0.163892	0.852977	0.205178	0.888136	1.11186	0.1665466	0.893746	1.11889	0.76716	0.184535	0.0006159676	0.000615968	0.000615968	0.011089	0.542444	0.149426	0.297042	0.704693	1.54422	0.889206	1.94855	0.884238	1.11576	0.1724025	0.890223	1.12331	0.796949	1.74638	0.00109049	0.00117019
7	1	-751.6903	-763.9495	12.25917	0.620255	0.254018	0.683238	0.279812	0.951681	1.04832	0.0716932	0.952794	1.04954	0.651746	0.266915	0.0006839942	0.000683994	0.000683994	0.0958512	0.299095	0.0885954	0.516459	0.671754	0.311799	2.01385	0.934743	0.500262	1.49974	0.8138842	0.577552	1.73145	1.3428	0.623271	0.000243102	0.00208668
8	0	-898.9506	-912.2395	13.28889	0.681342	0.163892	0.852977	0.205178	0.888136	1.11186	0.1665466	0.893746	1.11889	0.76716	0.184535	0.0004397547	0.000439755	0.000439755	0.00749223	0.690854	0.100959	0.200695	0.704693	1.54422	0.889206	1.94855	0.884238	1.11576	0.1724025	0.890223	1.12331	0.796949	1.74638	0.000943462	0.00091637
9	1	-731.3003	-742.8793	11.57902	0.631966	0.258814	0.671527	0.275016	0.969649	1.03035	0.0450116	0.970096	1.03083	0.651746	0.266915	0.0006271624	0.000627162	0.000627162	0.112774	0.351901	0.104237	0.431087	0.644804	0.299289	2.04081	0.947252	0.480192	1.51981	0.8540928	0.562099	1.77905	1.3428	0.623271	0.000248232	0.00330675
