"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0593076202839947;0,142498709593255;0,0810791339767839;0,0344888274542917;0,0778496412886413;0,0070254980630155;0,0443549541636924;0,0269474865606843;0,347316168272631;0,0796995030778425;0,0233759758370333;0,0387297152276553;-368,440998164883
2;0,0106625705157383;0,152691461949529;0,104923540810289;0,0811900458673891;0,12024812543741;0,0270480554382558;0,0773824230045874;0,0323096185048006;0,289940420238345;0,010569053595074;0,0261602063105729;0,0331173399084137;-367,012954490864
3;0,00580353210377733;0,262277449950848;0,11176548566435;0,0623591173115649;0,227700223832679;0,0216829568260128;0,112638309448681;0,05724632494375;0,201064357688228;0,11594890023194;0,0590483508745897;0,0358026826571615;-366,328075347365
4;0,0463541896311371;0,312676126278645;0,0984533875878333;0,0718107210317668;0,175232892462693;0,0186815646563111;0,0444789902027854;0,131375831781499;0,190073028899683;0,127212511188551;0,0920547374905157;0,0339245376337684;-366,233474456658
5;0,0302600555343614;0,228069489091005;0,118015920877351;0,127506561844072;0,0809423848687013;0,0346273575599976;0,0315027621242191;0,346035309851766;0,184320993143804;0,0119614906227976;0,296337862661792;0,00767782529108528;-368,850396749553
6;0,00810535111142522;0,252960918188581;0,0957049603151587;0,0968654751019922;0,0963892154827286;0,0636566525159314;0,0576157329387094;1,14224265905631;0,198287736117405;0,0751941023994588;0,748066161360786;0,00273169567183546;-368,299709096508
7;0,0161768915794262;0,281586420011348;0,0674184565316511;0,0320150322330855;0,0627864376776438;0,0218522481753243;0,0550222328143997;1,88918082998312;0,118628724884621;0,171689484138546;1,08385333367133;0,0646002424700365;-368,273863057608
8;0,0262909786998894;0,243907417471255;0,0684904911348293;0,00947234158089458;0,128526897270034;0,0512491331569053;0,0131280011613188;2,0498193434436;0,0498971496415924;0,25390635368542;1,03933511309797;0,0620525583973257;-367,77938627543
9;0,0438465386085938;0,250070252494453;0,0745364116353603;0,0309148252408153;0,125907184327939;0,0130340737871007;0,0182599913763508;2,20857611055255;0,086753655634743;0,36746667011261;1,34378912426091;0,0947554823376694;-367,475904401396
10;0,0544491705048374;0,249722388841262;0,0650751373193265;0,049796392840766;0,0175951554423508;0,029508425168012;0,0331052237284571;2,58507934167164;0,17712350415067;0,442608016892909;1,25845355630244;0,0838750985384946;-367,734920783276
