state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
43600	0.000	0.000	0.000	0	21	29.287	1.096	0.862	-161.54	-1126.27	0.00	-251.02
43700	0.000	0.000	0.000	0	21	22.007	1.057	0.743	-163.78	-1126.11	0.00	-252.73
43800	0.000	0.000	0.000	0	22	26.248	1.081	0.812	-165.11	-1126.28	-0.01	0.00
43900	0.000	0.000	0.000	0	21	24.642	1.014	0.853	-164.79	-1126.17	-0.01	0.00
44000	0.000	0.000	0.000	0	22	54.199	1.014	0.853	-163.01	-1126.92	0.00	-251.01
44100	0.000	0.000	0.000	0	21	25.245	1.014	0.853	-162.71	-1126.18	0.00	0.00
44200	0.000	0.000	0.000	0	23	21.377	0.855	0.853	-164.80	-1126.23	0.07	0.00
44300	0.000	0.000	0.000	0	21	27.065	0.855	0.937	-161.78	-1126.22	-0.10	0.18
44400	0.000	0.000	0.000	0	23	47.628	1.010	0.924	-160.44	-1126.86	0.00	0.00
44500	0.000	0.000	0.000	0	22	22.736	0.955	1.084	-158.16	-1126.19	0.07	0.00
44600	0.000	0.000	0.000	0	21	20.425	0.955	1.052	-162.06	-1126.07	0.07	0.00
44700	0.000	0.000	0.000	0	22	17.741	1.036	1.052	-166.73	-1126.08	0.00	0.00
44800	0.000	0.000	0.000	0	20	31.854	1.271	1.052	-166.28	-1126.25	0.00	0.00
44900	0.000	0.000	0.000	0	17	29.515	1.271	1.052	-162.58	-1125.95	0.00	0.00
45000	0.000	0.000	0.000	0	18	21.062	1.084	1.103	-162.13	-1125.87	0.00	-260.03
45100	0.000	0.000	0.000	0	18	17.053	1.158	0.684	-164.60	-1125.80	0.06	-0.20
45200	0.000	0.000	0.000	0	20	19.261	1.147	0.547	-165.69	-1125.98	0.00	-263.38
45300	0.000	0.000	0.000	0	21	52.629	0.966	0.707	-164.82	-1126.78	-0.10	0.00
45400	0.000	0.000	0.000	0	23	34.024	1.133	0.707	-165.29	-1126.53	0.00	0.00
45500	0.000	0.000	0.000	0	23	25.525	0.858	0.897	-164.39	-1126.33	0.00	0.00
45600	0.000	0.000	0.000	0	25	17.328	0.982	0.897	-166.26	-1126.25	0.00	-267.20
45700	0.000	0.000	0.000	0	21	11.029	0.922	0.897	-167.46	-1125.87	0.00	0.00
45800	0.000	0.000	0.000	0	23	27.465	1.241	0.518	-173.40	-1126.38	0.00	-268.72
45900	0.000	0.000	0.000	0	21	21.997	1.242	0.522	-166.88	-1126.11	0.00	0.00
46000	0.000	0.000	0.000	0	23	25.260	0.912	0.712	-169.04	-1126.32	-0.07	0.00
46100	0.000	0.000	0.000	0	26	19.300	1.207	0.953	-174.10	-1126.36	-0.06	0.00
46200	0.000	0.000	0.000	0	25	19.517	1.051	0.982	-173.01	-1126.31	0.00	0.00
46300	0.000	0.000	0.000	0	29	16.429	0.866	0.617	-168.63	-1126.44	0.00	0.00
46400	0.000	0.000	0.000	0	28	19.557	0.866	0.510	-169.74	-1126.48	0.00	0.00
46500	0.000	0.000	0.000	0	27	29.244	0.986	0.232	-167.16	-1126.70	0.00	0.00
46600	0.000	0.000	0.000	0	24	39.139	0.831	0.335	-162.28	-1126.74	0.00	0.00
46700	0.000	0.000	0.000	0	24	25.552	0.893	0.556	-160.52	-1126.40	-0.07	0.00
46800	0.000	0.000	0.000	0	22	21.136	0.894	0.708	-158.65	-1126.16	0.00	0.00
46900	0.000	0.000	0.000	0	25	26.547	0.978	0.627	-162.42	-1126.49	-0.00	0.19
47000	0.000	0.000	0.000	0	23	20.416	1.007	0.825	-158.34	-1126.21	-0.01	0.00
47100	0.000	0.000	0.000	0	22	26.432	1.007	0.328	-158.10	-1126.28	0.00	0.00
47200	0.000	0.000	0.000	0	24	16.301	0.961	0.774	-165.28	-1126.17	0.00	0.00
47300	0.000	0.000	0.000	0	24	17.683	0.892	0.381	-161.67	-1126.20	-0.06	0.00
47400	0.000	0.000	0.000	0	23	24.790	0.892	0.291	-163.75	-1126.31	0.00	0.00
47500	0.000	0.000	0.000	0	24	23.135	0.941	0.679	-164.15	-1126.34	0.00	0.00
47600	0.000	0.000	0.000	0	25	12.307	1.008	0.494	-163.12	-1126.12	0.00	0.00
47700	0.000	0.000	0.000	0	24	25.436	0.964	0.410	-162.08	-1126.39	0.07	0.00
47800	0.000	0.000	0.000	0	24	31.580	0.964	0.410	-166.43	-1126.55	-0.07	0.00
47900	0.000	0.000	0.000	0	25	41.757	0.964	0.410	-169.49	-1126.89	-0.01	0.00
48000	0.000	0.000	0.000	0	27	25.213	0.964	0.410	-166.35	-1126.58	0.00	0.00
48100	0.000	0.000	0.000	0	24	21.909	0.921	0.347	-162.75	-1126.31	0.00	-284.84
48200	0.000	0.000	0.000	0	26	22.139	0.848	0.485	-168.72	-1126.44	0.00	-286.65
48300	0.000	0.000	0.000	0	23	20.351	0.848	0.617	-161.83	-1126.20	0.06	0.00
48400	0.000	0.000	0.000	0	23	10.022	0.848	0.548	-166.39	-1125.96	0.05	0.00
48500	0.000	0.000	0.000	0	24	12.772	0.975	0.601	-163.62	-1126.08	0.00	-287.00
48600	0.000	0.000	0.000	0	24	20.021	0.975	0.714	-164.03	-1126.26	0.06	0.00
48700	0.000	0.000	0.000	0	24	18.657	0.985	0.407	-163.04	-1126.23	0.00	-289.12
48800	0.000	0.000	0.000	0	27	15.587	0.908	0.274	-170.31	-1126.31	0.00	-290.39
48900	0.000	0.000	0.000	0	28	22.126	0.908	0.289	-164.57	-1126.55	0.00	0.00
49000	0.000	0.000	0.000	0	31	17.635	0.908	0.799	-166.91	-1126.58	0.00	0.00
49100	0.000	0.000	0.000	0	32	20.083	1.099	0.973	-174.89	-1126.71	-0.05	0.00
49200	0.000	0.000	0.000	0	29	13.261	0.894	1.005	-173.31	-1126.35	0.13	-0.41
49300	0.000	0.000	0.000	0	29	12.126	0.894	0.883	-173.18	-1126.31	0.00	0.00
49400	0.000	0.000	0.000	0	26	18.585	1.142	0.552	-174.21	-1126.34	-0.01	0.00
49500	0.000	0.000	0.000	0	28	32.074	1.205	0.552	-175.00	-1126.84	0.00	0.00
49600	0.000	0.000	0.000	0	27	15.854	0.816	0.706	-163.96	-1126.32	0.00	0.00
49700	0.000	0.000	0.000	0	26	15.840	0.871	0.706	-167.96	-1126.27	-0.01	0.00
49800	0.000	0.000	0.000	0	26	17.599	0.871	0.785	-164.38	-1126.31	0.00	-301.86
49900	0.000	0.000	0.000	0	28	18.639	0.920	0.663	-165.80	-1126.45	-0.00	0.00
50000	0.000	0.000	0.000	0	25	25.623	0.920	1.020	-166.64	-1126.47	0.00	0.00
